victim_qasm,victim_tag,knob,window_name,observation_duration_ns,probe_name,probe_round_period_ns,spacing_pattern,workload_type,placement,threat_model,hub_max_concurrent_transfers,victim_true_start_ns,attacker_estimated_window_start_ns,within_round_event_spacing_ns,observation_window_start_ns,observation_window_end_ns,total_probe_rounds,total_attacker_events,total_attacker_remote_requests,first_remote_probe_release_ns,last_remote_probe_release_ns,realized_remote_probe_rate_per_us,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,victim_only_completion_offset_ns,victim_on_completion_offset_ns,victim_slowdown_ns,victim_slowdown_ratio,window_to_victim_duration_ratio_evaluator_only,probes_before_victim_completion_evaluator_only,active_window_probe_fraction_evaluator_only,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns,config_name,placement_name,placement_short,victim_modules,attacker_modules,shared_modules,shared_module_count,direct_module_overlap,attacker_qubit_mapping,dummy_anchor_qubit,dummy_anchor_module,intertenant_signal_observed,p1_same_capacity_total_signal_ns,p1_same_capacity_contention_fraction,signal_difference_vs_p1_same_capacity_ns,contention_difference_vs_p1_same_capacity,placement_restores_signal_over_p1,capacity_1_total_signal_ns,capacity_1_contention_fraction,signal_retention_vs_capacity_1,contention_retention_vs_capacity_1
bv_n19.qasm,bv_n19,placement,p2_overlap_capacity_1,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,76,16,16,0.0,0.0,110.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,4250.0,5,0.10416666666666667,1880.0,1920.0,40.0,1.0212765957446808,10.638297872340425,5,0.10416666666666667,20880,2880,20880,p2_overlap_capacity_1,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",23.0,module_4,True,4250.0,0.10416666666666667,0.0,0.0,False,4250.0,0.10416666666666667,1.0,1.0
dnn_n16.qasm,dnn_n16,placement,p2_overlap_capacity_1,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,2032,72,72,0.0,0.0,110.0,678.5416666666666,2340.0,788.5416666666666,678.5416666666666,678.5416666666666,325.0,2340.0,32570.0,25,0.5208333333333334,11605.0,12450.0,845.0,1.0728134424816889,1.7233950883239983,28,0.5833333333333334,20880,12605,20880,p2_overlap_capacity_1,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",20.0,module_4,True,32570.0,0.5208333333333334,0.0,0.0,False,32570.0,0.5208333333333334,1.0,1.0
qft_n18.qasm,qft_n18,placement,p2_overlap_capacity_1,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,802,217,217,0.0,0.0,110.0,14143.958333333334,21240.0,14253.958333333334,14143.958333333334,14143.958333333334,14695.0,21240.0,678910.0,47,0.9791666666666666,24290.0,25280.0,990.0,1.0407575133799918,0.8233841086867023,48,1.0,20880,25290,30460,p2_overlap_capacity_1,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",22.0,module_4,True,678910.0,0.9791666666666666,0.0,0.0,False,678910.0,0.9791666666666666,1.0,1.0
sat_n11.qasm,sat_n11,placement,p2_overlap_capacity_1,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,95,42,42,0.0,0.0,110.0,672.2916666666666,4320.0,782.2916666666666,672.2916666666666,672.2916666666666,0.0,4320.0,32270.0,14,0.2916666666666667,4675.0,4770.0,95.0,1.0203208556149732,4.278074866310161,12,0.25,20880,5675,20880,p2_overlap_capacity_1,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",15.0,module_4,True,32270.0,0.2916666666666667,0.0,0.0,False,32270.0,0.2916666666666667,1.0,1.0
square_root_n18.qasm,square_root_n18,placement,p2_overlap_capacity_1,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,558,247,247,0.0,0.0,110.0,17767.5,25000.0,17877.5,17767.5,17767.5,18335.0,25000.0,852840.0,48,1.0,27200.0,27970.0,770.0,1.0283088235294118,0.7352941176470589,48,1.0,20880,28200,33480,p2_overlap_capacity_1,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",22.0,module_4,True,852840.0,1.0,0.0,0.0,False,852840.0,1.0,1.0,1.0
bv_n19.qasm,bv_n19,placement,p2_overlap_capacity_2,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,2,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,76,16,16,0.0,0.0,110.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,4250.0,5,0.10416666666666667,1880.0,1920.0,40.0,1.0212765957446808,10.638297872340425,5,0.10416666666666667,20880,2880,20880,p2_overlap_capacity_2,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",23.0,module_4,True,0.0,0.0,4250.0,0.10416666666666667,True,4250.0,0.10416666666666667,1.0,1.0
dnn_n16.qasm,dnn_n16,placement,p2_overlap_capacity_2,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,2,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,2032,72,72,0.0,0.0,110.0,288.2291666666667,1605.0,398.2291666666667,288.2291666666667,288.2291666666667,0.0,1605.0,13835.0,17,0.3541666666666667,11605.0,11715.0,110.0,1.009478672985782,1.7233950883239983,28,0.5833333333333334,20880,12605,20880,p2_overlap_capacity_2,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",20.0,module_4,True,0.0,0.0,13835.0,0.3541666666666667,True,32570.0,0.5208333333333334,0.4247774025176543,0.6799999999999999
qft_n18.qasm,qft_n18,placement,p2_overlap_capacity_2,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,2,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,802,217,217,0.0,0.0,110.0,6810.416666666667,15860.0,6920.416666666667,6810.416666666667,6810.416666666667,8575.0,15860.0,326900.0,28,0.5833333333333334,24290.0,24290.0,0.0,1.0,0.8233841086867023,48,1.0,20880,25290,28370,p2_overlap_capacity_2,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",22.0,module_4,True,0.0,0.0,326900.0,0.5833333333333334,True,678910.0,0.9791666666666666,0.48150712170979953,0.5957446808510639
sat_n11.qasm,sat_n11,placement,p2_overlap_capacity_2,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,2,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,95,42,42,0.0,0.0,110.0,672.2916666666666,4320.0,782.2916666666666,672.2916666666666,672.2916666666666,0.0,4320.0,32270.0,14,0.2916666666666667,4675.0,4770.0,95.0,1.0203208556149732,4.278074866310161,12,0.25,20880,5675,20880,p2_overlap_capacity_2,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",15.0,module_4,True,0.0,0.0,32270.0,0.2916666666666667,True,32270.0,0.2916666666666667,1.0,1.0
square_root_n18.qasm,square_root_n18,placement,p2_overlap_capacity_2,20000,probe_3_light_periodic,420,uniform,static_distributed,P2_one_module_overlap,blackbox_with_coarse_window_knowledge,2,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,558,247,247,0.0,0.0,110.0,297.5,890.0,407.5,297.5,297.5,195.0,890.0,14280.0,27,0.5625,27200.0,27200.0,0.0,1.0,0.7352941176470589,48,1.0,20880,28200,28200,p2_overlap_capacity_2,P2_one_module_overlap,P2,"module_0,module_1,module_2","module_2,module_3",module_2,1,True,"{""0"": ""module_2"", ""1"": ""module_2"", ""2"": ""module_3"", ""3"": ""module_3""}",22.0,module_4,True,0.0,0.0,14280.0,0.5625,True,852840.0,1.0,0.016744055156887577,0.5625
