victim_qasm,victim_tag,knob,start_name,start_error_ns,probe_name,spacing_pattern,probe_round_period_ns,observation_duration_ns,workload_type,placement,threat_model,hub_max_concurrent_transfers,victim_true_start_ns,within_round_event_spacing_ns,estimated_window_start_ns,estimated_window_end_ns,total_probe_rounds,total_attacker_events,total_attacker_remote_requests,first_remote_probe_release_ns,last_remote_probe_release_ns,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,victim_only_duration_ns,victim_on_duration_ns,victim_slowdown_ns,victim_slowdown_ratio,window_victim_overlap_ns_evaluator_only,pre_victim_probe_count_evaluator_only,useful_probe_count_evaluator_only,post_victim_probe_count_evaluator_only,useful_probe_fraction_evaluator_only,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns
bv_n19.qasm,bv_n19,window_start_estimation,start_m2p5us,-2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,17500,37500,48,336,48,17530,37270,76,16,16,0.0,0.0,110.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,4250.0,5,0.10416666666666667,1880.0,1940.0,60.0,1.0319148936170213,1880.0,6,5,37,0.10416666666666667,37380,21880,37380
dnn_n16.qasm,dnn_n16,window_start_estimation,start_m2p5us,-2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,17500,37500,48,336,48,17530,37270,2032,72,72,0.0,0.0,110.0,684.1666666666666,2325.0,794.1666666666666,684.1666666666666,684.1666666666666,335.0,2325.0,32840.0,26,0.5416666666666666,11605.0,12455.0,850.0,1.0732442912537699,11605.0,6,28,14,0.5833333333333334,37380,31605,37380
qft_n18.qasm,qft_n18,window_start_estimation,start_m2p5us,-2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,17500,37500,48,336,48,17530,37270,802,217,217,0.0,0.0,110.0,12855.416666666666,21220.0,12965.416666666666,12855.416666666666,12855.416666666666,14675.0,21220.0,617060.0,41,0.8541666666666666,24290.0,25280.0,990.0,1.0407575133799918,17500.0,6,42,0,0.875,37380,44290,48800
sat_n11.qasm,sat_n11,window_start_estimation,start_m2p5us,-2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,17500,37500,48,336,48,17530,37270,95,42,42,0.0,0.0,110.0,675.3125,4315.0,785.3125,675.3125,675.3125,0.0,4315.0,32415.0,15,0.3125,4675.0,4785.0,110.0,1.0235294117647058,4675.0,6,12,30,0.25,37380,24675,37380
square_root_n18.qasm,square_root_n18,window_start_estimation,start_m2p5us,-2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,17500,37500,48,336,48,17530,37270,558,247,247,0.0,0.0,110.0,16142.291666666666,24980.0,16252.291666666666,16142.291666666666,16142.291666666666,18315.0,24980.0,774830.0,42,0.875,27200.0,27970.0,770.0,1.0283088235294118,17500.0,6,42,0,0.875,37380,47200,51820
bv_n19.qasm,bv_n19,window_start_estimation,start_m1us,-1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,19000,39000,48,336,48,19030,38770,76,16,16,0.0,0.0,110.0,101.875,1590.0,211.875,101.875,101.875,0.0,1590.0,4890.0,6,0.125,1880.0,1880.0,0.0,1.0,1880.0,3,4,41,0.08333333333333333,38880,21880,38880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_m1us,-1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,19000,39000,48,336,48,19030,38770,2032,72,72,0.0,0.0,110.0,656.7708333333334,2215.0,766.7708333333334,656.7708333333334,656.7708333333334,325.0,2215.0,31525.0,25,0.5208333333333334,11605.0,12455.0,850.0,1.0732442912537699,11605.0,3,27,18,0.5625,38880,31605,38880
qft_n18.qasm,qft_n18,window_start_estimation,start_m1us,-1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,19000,39000,48,336,48,19030,38770,802,217,217,0.0,0.0,110.0,13583.333333333334,21100.0,13693.333333333334,13583.333333333334,13583.333333333334,14745.0,21100.0,652000.0,44,0.9166666666666666,24290.0,25170.0,880.0,1.036228900782215,19000.0,3,45,0,0.9375,38880,44290,49130
sat_n11.qasm,sat_n11,window_start_estimation,start_m1us,-1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,19000,39000,48,336,48,19030,38770,95,42,42,0.0,0.0,110.0,669.0625,4075.0,779.0625,669.0625,669.0625,0.0,4075.0,32115.0,15,0.3125,4675.0,4785.0,110.0,1.0235294117647058,4675.0,3,11,34,0.22916666666666666,38880,24675,38880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_m1us,-1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,19000,39000,48,336,48,19030,38770,558,247,247,0.0,0.0,110.0,17129.375,25050.0,17239.375,17129.375,17129.375,18265.0,25050.0,822210.0,45,0.9375,27200.0,27860.0,660.0,1.0242647058823529,19000.0,3,45,0,0.9375,38880,47200,52150
bv_n19.qasm,bv_n19,window_start_estimation,start_exact,0,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,20000,40000,48,336,48,20030,39770,76,16,16,0.0,0.0,110.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,4250.0,5,0.10416666666666667,1880.0,1920.0,40.0,1.0212765957446808,1880.0,0,5,43,0.10416666666666667,39880,21880,39880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_exact,0,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,20000,40000,48,336,48,20030,39770,2032,72,72,0.0,0.0,110.0,678.5416666666666,2340.0,788.5416666666666,678.5416666666666,678.5416666666666,325.0,2340.0,32570.0,25,0.5208333333333334,11605.0,12450.0,845.0,1.0728134424816889,11605.0,0,28,20,0.5833333333333334,39880,31605,39880
qft_n18.qasm,qft_n18,window_start_estimation,start_exact,0,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,20000,40000,48,336,48,20030,39770,802,217,217,0.0,0.0,110.0,14143.958333333334,21240.0,14253.958333333334,14143.958333333334,14143.958333333334,14695.0,21240.0,678910.0,47,0.9791666666666666,24290.0,25280.0,990.0,1.0407575133799918,20000.0,0,48,0,1.0,39880,44290,49460
sat_n11.qasm,sat_n11,window_start_estimation,start_exact,0,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,20000,40000,48,336,48,20030,39770,95,42,42,0.0,0.0,110.0,672.2916666666666,4320.0,782.2916666666666,672.2916666666666,672.2916666666666,0.0,4320.0,32270.0,14,0.2916666666666667,4675.0,4770.0,95.0,1.0203208556149732,4675.0,0,12,36,0.25,39880,24675,39880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_exact,0,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,20000,40000,48,336,48,20030,39770,558,247,247,0.0,0.0,110.0,17767.5,25000.0,17877.5,17767.5,17767.5,18335.0,25000.0,852840.0,48,1.0,27200.0,27970.0,770.0,1.0283088235294118,20000.0,0,48,0,1.0,39880,47200,52480
bv_n19.qasm,bv_n19,window_start_estimation,start_p1us,1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,21000,41000,48,336,48,21030,40770,76,16,16,0.0,0.0,110.0,33.75,850.0,143.75,33.75,33.75,0.0,850.0,1620.0,3,0.0625,1880.0,1880.0,0.0,1.0,880.0,0,3,45,0.0625,40880,21880,40880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_p1us,1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,21000,41000,48,336,48,21030,40770,2032,72,72,0.0,0.0,110.0,677.0833333333334,2315.0,787.0833333333334,677.0833333333334,677.0833333333334,390.0,2315.0,32500.0,26,0.5416666666666666,11605.0,12455.0,850.0,1.0732442912537699,10605.0,0,26,22,0.5416666666666666,40880,31605,40880
qft_n18.qasm,qft_n18,window_start_estimation,start_p1us,1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,21000,41000,48,336,48,21030,40770,802,217,217,0.0,0.0,110.0,14378.541666666666,21090.0,14488.541666666666,14378.541666666666,14378.541666666666,14425.0,21090.0,690170.0,48,1.0,24290.0,25060.0,770.0,1.031700288184438,20000.0,0,48,0,1.0,40880,44290,49570
sat_n11.qasm,sat_n11,window_start_estimation,start_p1us,1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,21000,41000,48,336,48,21030,40770,95,42,42,0.0,0.0,110.0,485.0,3645.0,595.0,485.0,485.0,0.0,3645.0,23280.0,12,0.25,4675.0,4675.0,0.0,1.0,3675.0,0,9,39,0.1875,40880,24675,40880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_p1us,1000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,21000,41000,48,336,48,21030,40770,558,247,247,0.0,0.0,110.0,18014.166666666668,24930.0,18124.166666666668,18014.166666666668,18014.166666666668,17955.0,24930.0,864680.0,48,1.0,27200.0,27640.0,440.0,1.0161764705882352,20000.0,0,48,0,1.0,40880,47200,52480
bv_n19.qasm,bv_n19,window_start_estimation,start_p2p5us,2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,22500,42500,48,336,48,22530,42270,76,16,16,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1880.0,1880.0,0.0,1.0,0.0,0,0,48,0.0,42380,21880,42380
dnn_n16.qasm,dnn_n16,window_start_estimation,start_p2p5us,2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,22500,42500,48,336,48,22530,42270,2032,72,72,0.0,0.0,110.0,673.9583333333334,2340.0,783.9583333333334,673.9583333333334,673.9583333333334,325.0,2340.0,32350.0,25,0.5208333333333334,11605.0,12430.0,825.0,1.0710900473933649,9105.0,0,22,26,0.4583333333333333,42380,31605,42380
qft_n18.qasm,qft_n18,window_start_estimation,start_p2p5us,2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,22500,42500,48,336,48,22530,42270,802,217,217,0.0,0.0,110.0,14105.208333333334,20710.0,14215.208333333334,14105.208333333334,14105.208333333334,14165.0,20710.0,677050.0,48,1.0,24290.0,24730.0,440.0,1.0181144503911075,20000.0,0,48,0,1.0,42380,44290,49570
sat_n11.qasm,sat_n11,window_start_estimation,start_p2p5us,2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,22500,42500,48,336,48,22530,42270,95,42,42,0.0,0.0,110.0,177.1875,2145.0,287.1875,177.1875,177.1875,0.0,2145.0,8505.0,7,0.14583333333333334,4675.0,4675.0,0.0,1.0,2175.0,0,6,42,0.125,42380,24675,42380
square_root_n18.qasm,square_root_n18,window_start_estimation,start_p2p5us,2500,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,22500,42500,48,336,48,22530,42270,558,247,247,0.0,0.0,110.0,17341.458333333332,24360.0,17451.458333333332,17341.458333333332,17341.458333333332,17385.0,24360.0,832390.0,48,1.0,27200.0,27310.0,110.0,1.004044117647059,20000.0,0,48,0,1.0,42380,47200,52480
bv_n19.qasm,bv_n19,window_start_estimation,start_p5us,5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,25000,45000,48,336,48,25030,44770,76,16,16,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1880.0,1880.0,0.0,1.0,0.0,0,0,48,0.0,44880,21880,44880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_p5us,5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,25000,45000,48,336,48,25030,44770,2032,72,72,0.0,0.0,110.0,337.7083333333333,1865.0,447.7083333333333,337.7083333333333,337.7083333333333,0.0,1865.0,16210.0,18,0.375,11605.0,11935.0,330.0,1.028436018957346,6605.0,0,16,32,0.3333333333333333,44880,31605,44880
qft_n18.qasm,qft_n18,window_start_estimation,start_p5us,5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,25000,45000,48,336,48,25030,44770,802,217,217,0.0,0.0,110.0,11975.0,19260.0,12085.0,11975.0,11975.0,11975.0,19260.0,574800.0,48,1.0,24290.0,24290.0,0.0,1.0,19290.0,0,46,2,0.9583333333333334,44880,44290,49570
sat_n11.qasm,sat_n11,window_start_estimation,start_p5us,5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,25000,45000,48,336,48,25030,44770,95,42,42,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4675.0,4675.0,0.0,1.0,0.0,0,0,48,0.0,44880,24675,44880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_p5us,5000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,25000,45000,48,336,48,25030,44770,558,247,247,0.0,0.0,110.0,14885.0,22170.0,14995.0,14885.0,14885.0,14885.0,22170.0,714480.0,48,1.0,27200.0,27200.0,0.0,1.0,20000.0,0,48,0,1.0,44880,47200,52480
bv_n19.qasm,bv_n19,window_start_estimation,start_p10us,10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,30000,50000,48,336,48,30030,49770,76,16,16,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1880.0,1880.0,0.0,1.0,0.0,0,0,48,0.0,49880,21880,49880
dnn_n16.qasm,dnn_n16,window_start_estimation,start_p10us,10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,30000,50000,48,336,48,30030,49770,2032,72,72,0.0,0.0,110.0,97.70833333333333,1465.0,207.70833333333334,97.70833333333333,97.70833333333333,0.0,1465.0,4690.0,6,0.125,11605.0,11715.0,110.0,1.009478672985782,1605.0,0,4,44,0.08333333333333333,49880,31605,49880
qft_n18.qasm,qft_n18,window_start_estimation,start_p10us,10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,30000,50000,48,336,48,30030,49770,802,217,217,0.0,0.0,110.0,6981.458333333333,14260.0,7091.458333333333,6981.458333333333,6981.458333333333,6975.0,14260.0,335110.0,46,0.9583333333333334,24290.0,24290.0,0.0,1.0,14290.0,0,34,14,0.7083333333333334,49880,44290,49880
sat_n11.qasm,sat_n11,window_start_estimation,start_p10us,10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,30000,50000,48,336,48,30030,49770,95,42,42,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4675.0,4675.0,0.0,1.0,0.0,0,0,48,0.0,49880,24675,49880
square_root_n18.qasm,square_root_n18,window_start_estimation,start_p10us,10000,probe_3_light_periodic,uniform,420,20000,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,20000,5,30000,50000,48,336,48,30030,49770,558,247,247,0.0,0.0,110.0,9885.0,17170.0,9995.0,9885.0,9885.0,9885.0,17170.0,474480.0,48,1.0,27200.0,27200.0,0.0,1.0,17200.0,0,41,7,0.8541666666666666,49880,47200,52480
