victim_qasm,victim_tag,knob,window_name,observation_duration_ns,probe_name,probe_round_period_ns,spacing_pattern,workload_type,placement,threat_model,hub_max_concurrent_transfers,victim_true_start_ns,attacker_estimated_window_start_ns,within_round_event_spacing_ns,observation_window_start_ns,observation_window_end_ns,total_probe_rounds,total_attacker_events,total_attacker_remote_requests,first_remote_probe_release_ns,last_remote_probe_release_ns,realized_remote_probe_rate_per_us,victim_total_events,victim_cross_module_ops_evaluator_only,victim_completed_remote_requests,baseline_avg_waiting_time_ns,baseline_max_waiting_time_ns,baseline_avg_turnaround_time_ns,victim_on_avg_waiting_time_ns,victim_on_max_waiting_time_ns,victim_on_avg_turnaround_time_ns,avg_excess_waiting_time_ns,avg_excess_turnaround_time_ns,median_excess_turnaround_time_ns,max_excess_turnaround_time_ns,total_excess_turnaround_time_ns,delayed_probe_count,contention_observed_fraction,victim_only_completion_offset_ns,victim_on_completion_offset_ns,victim_slowdown_ns,victim_slowdown_ratio,window_to_victim_duration_ratio_evaluator_only,probes_before_victim_completion_evaluator_only,active_window_probe_fraction_evaluator_only,attacker_only_hub_makespan_ns,victim_only_hub_makespan_ns,victim_on_hub_makespan_ns
bv_n19.qasm,bv_n19,observation_window,window_20us_baseline,20000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,76,16,16,0.0,0.0,110.0,88.54166666666667,1470.0,198.54166666666666,88.54166666666667,88.54166666666667,0.0,1470.0,4250.0,5,0.10416666666666667,1880.0,1920.0,40.0,1.0212765957446808,10.638297872340425,5,0.10416666666666667,20880,2880,20880
dnn_n16.qasm,dnn_n16,observation_window,window_20us_baseline,20000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,2032,72,72,0.0,0.0,110.0,678.5416666666666,2340.0,788.5416666666666,678.5416666666666,678.5416666666666,325.0,2340.0,32570.0,25,0.5208333333333334,11605.0,12450.0,845.0,1.0728134424816889,1.7233950883239983,28,0.5833333333333334,20880,12605,20880
qft_n18.qasm,qft_n18,observation_window,window_20us_baseline,20000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,802,217,217,0.0,0.0,110.0,14143.958333333334,21240.0,14253.958333333334,14143.958333333334,14143.958333333334,14695.0,21240.0,678910.0,47,0.9791666666666666,24290.0,25280.0,990.0,1.0407575133799918,0.8233841086867023,48,1.0,20880,25290,30460
sat_n11.qasm,sat_n11,observation_window,window_20us_baseline,20000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,95,42,42,0.0,0.0,110.0,672.2916666666666,4320.0,782.2916666666666,672.2916666666666,672.2916666666666,0.0,4320.0,32270.0,14,0.2916666666666667,4675.0,4770.0,95.0,1.0203208556149732,4.278074866310161,12,0.25,20880,5675,20880
square_root_n18.qasm,square_root_n18,observation_window,window_20us_baseline,20000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,21000,48,336,48,1030,20770,2.4,558,247,247,0.0,0.0,110.0,17767.5,25000.0,17877.5,17767.5,17767.5,18335.0,25000.0,852840.0,48,1.0,27200.0,27970.0,770.0,1.0283088235294118,0.7352941176470589,48,1.0,20880,28200,33480
bv_n19.qasm,bv_n19,observation_window,window_30us_long,30000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,31000,72,504,72,1030,30850,2.4,76,16,16,0.0,0.0,110.0,59.02777777777778,1470.0,169.02777777777777,59.02777777777778,59.02777777777778,0.0,1470.0,4250.0,5,0.06944444444444445,1880.0,1920.0,40.0,1.0212765957446808,15.957446808510639,5,0.06944444444444445,30960,2880,30960
dnn_n16.qasm,dnn_n16,observation_window,window_30us_long,30000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,31000,72,504,72,1030,30850,2.4,2032,72,72,0.0,0.0,110.0,452.3611111111111,2340.0,562.3611111111111,452.3611111111111,452.3611111111111,0.0,2340.0,32570.0,25,0.3472222222222222,11605.0,12450.0,845.0,1.0728134424816889,2.5850926324859973,28,0.3888888888888889,30960,12605,30960
qft_n18.qasm,qft_n18,observation_window,window_30us_long,30000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,31000,72,504,72,1030,30850,2.4,802,217,217,0.0,0.0,110.0,11330.972222222223,21240.0,11440.972222222223,11330.972222222223,11330.972222222223,11285.0,21240.0,815830.0,71,0.9861111111111112,24290.0,25280.0,990.0,1.0407575133799918,1.2350761630300535,58,0.8055555555555556,30960,25290,33100
sat_n11.qasm,sat_n11,observation_window,window_30us_long,30000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,31000,72,504,72,1030,30850,2.4,95,42,42,0.0,0.0,110.0,448.19444444444446,4320.0,558.1944444444445,448.19444444444446,448.19444444444446,0.0,4320.0,32270.0,14,0.19444444444444445,4675.0,4770.0,95.0,1.0203208556149732,6.4171122994652405,12,0.16666666666666666,30960,5675,30960
square_root_n18.qasm,square_root_n18,observation_window,window_30us_long,30000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,31000,72,504,72,1030,30850,2.4,558,247,247,0.0,0.0,110.0,14753.333333333334,25000.0,14863.333333333334,14753.333333333334,14753.333333333334,14925.0,25000.0,1062240.0,72,1.0,27200.0,27970.0,770.0,1.0283088235294118,1.1029411764705883,65,0.9027777777777778,30960,28200,36120
bv_n19.qasm,bv_n19,observation_window,window_40us_extended,40000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,41000,96,672,96,1030,40930,2.4,76,16,16,0.0,0.0,110.0,44.270833333333336,1470.0,154.27083333333334,44.270833333333336,44.270833333333336,0.0,1470.0,4250.0,5,0.052083333333333336,1880.0,1920.0,40.0,1.0212765957446808,21.27659574468085,5,0.052083333333333336,41040,2880,41040
dnn_n16.qasm,dnn_n16,observation_window,window_40us_extended,40000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,41000,96,672,96,1030,40930,2.4,2032,72,72,0.0,0.0,110.0,339.2708333333333,2340.0,449.2708333333333,339.2708333333333,339.2708333333333,0.0,2340.0,32570.0,25,0.2604166666666667,11605.0,12450.0,845.0,1.0728134424816889,3.4467901766479967,28,0.2916666666666667,41040,12605,41040
qft_n18.qasm,qft_n18,observation_window,window_40us_extended,40000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,41000,96,672,96,1030,40930,2.4,802,217,217,0.0,0.0,110.0,8564.166666666666,21240.0,8674.166666666666,8564.166666666666,8564.166666666666,7875.0,21240.0,822160.0,77,0.8020833333333334,24290.0,25280.0,990.0,1.0407575133799918,1.6467682173734046,58,0.6041666666666666,41040,25290,41040
sat_n11.qasm,sat_n11,observation_window,window_40us_extended,40000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,41000,96,672,96,1030,40930,2.4,95,42,42,0.0,0.0,110.0,336.1458333333333,4320.0,446.1458333333333,336.1458333333333,336.1458333333333,0.0,4320.0,32270.0,14,0.14583333333333334,4675.0,4770.0,95.0,1.0203208556149732,8.556149732620321,12,0.125,41040,5675,41040
square_root_n18.qasm,square_root_n18,observation_window,window_40us_extended,40000,probe_3_light_periodic,420,uniform,static_distributed,P1_disjoint,blackbox_with_coarse_window_knowledge,1,1000,1000,5,1000,41000,96,672,96,1030,40930,2.4,558,247,247,0.0,0.0,110.0,11485.833333333334,25000.0,11595.833333333334,11485.833333333334,11485.833333333334,11515.0,25000.0,1102640.0,88,0.9166666666666666,27200.0,27970.0,770.0,1.0283088235294118,1.4705882352941178,65,0.6770833333333334,41040,28200,41040
