scenario_name,scenario_family,sharing_mode,component_capacity,shared_components,expected_mechanism,scenario_description,workload_name,workload_description,release_pattern,shared_controller_admission,shared_source_link_interface,shared_switch_arbiter,shared_switch_path,shared_transmission_segment,shared_destination_link_interface
shared_switch_arbiter_capacity1,single_switch_arbiter,shared_pool,1,switch_arbiter,switch_arbiter_serialization,One cross-tenant shared switch arbiter lane.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,True,False,False,False
shared_switch_arbiter_capacity1,single_switch_arbiter,shared_pool,1,switch_arbiter,switch_arbiter_serialization,One cross-tenant shared switch arbiter lane.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,True,False,False,False
shared_switch_arbiter_capacity1,single_switch_arbiter,shared_pool,1,switch_arbiter,switch_arbiter_serialization,One cross-tenant shared switch arbiter lane.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,True,False,False,False
shared_switch_arbiter_capacity2,single_switch_arbiter,shared_pool,2,switch_arbiter,switch_arbiter_two_lane_pool,Two simultaneous cross-tenant switch arbiter lanes.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,True,False,False,False
shared_switch_arbiter_capacity2,single_switch_arbiter,shared_pool,2,switch_arbiter,switch_arbiter_two_lane_pool,Two simultaneous cross-tenant switch arbiter lanes.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,True,False,False,False
shared_switch_arbiter_capacity2,single_switch_arbiter,shared_pool,2,switch_arbiter,switch_arbiter_two_lane_pool,Two simultaneous cross-tenant switch arbiter lanes.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,True,False,False,False
partitioned_switch_arbiter_two_lanes,single_switch_arbiter,partitioned,2,switch_arbiter,switch_arbiter_partitioned_isolation,"Two switch arbiter lanes, statically partitioned by tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,True,False,False,False
partitioned_switch_arbiter_two_lanes,single_switch_arbiter,partitioned,2,switch_arbiter,switch_arbiter_partitioned_isolation,"Two switch arbiter lanes, statically partitioned by tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,True,False,False,False
partitioned_switch_arbiter_two_lanes,single_switch_arbiter,partitioned,2,switch_arbiter,switch_arbiter_partitioned_isolation,"Two switch arbiter lanes, statically partitioned by tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,True,False,False,False
shared_switch_path_capacity1,single_switch_path,shared_pool,1,switch_path,switch_path_serialization,One cross-tenant shared switch path lane.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,True,False,False
shared_switch_path_capacity1,single_switch_path,shared_pool,1,switch_path,switch_path_serialization,One cross-tenant shared switch path lane.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,True,False,False
shared_switch_path_capacity1,single_switch_path,shared_pool,1,switch_path,switch_path_serialization,One cross-tenant shared switch path lane.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,True,False,False
shared_switch_path_capacity2,single_switch_path,shared_pool,2,switch_path,switch_path_two_lane_pool,Two simultaneous cross-tenant switch path lanes.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,True,False,False
shared_switch_path_capacity2,single_switch_path,shared_pool,2,switch_path,switch_path_two_lane_pool,Two simultaneous cross-tenant switch path lanes.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,True,False,False
shared_switch_path_capacity2,single_switch_path,shared_pool,2,switch_path,switch_path_two_lane_pool,Two simultaneous cross-tenant switch path lanes.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,True,False,False
partitioned_switch_path_two_lanes,single_switch_path,partitioned,2,switch_path,switch_path_partitioned_isolation,"Two switch path lanes, statically partitioned by tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,True,False,False
partitioned_switch_path_two_lanes,single_switch_path,partitioned,2,switch_path,switch_path_partitioned_isolation,"Two switch path lanes, statically partitioned by tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,True,False,False
partitioned_switch_path_two_lanes,single_switch_path,partitioned,2,switch_path,switch_path_partitioned_isolation,"Two switch path lanes, statically partitioned by tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,True,False,False
shared_transmission_segment_capacity1,single_transmission_segment,shared_pool,1,transmission_segment,transmission_segment_serialization,One cross-tenant shared transmission segment lane.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,True,False
shared_transmission_segment_capacity1,single_transmission_segment,shared_pool,1,transmission_segment,transmission_segment_serialization,One cross-tenant shared transmission segment lane.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,True,False
shared_transmission_segment_capacity1,single_transmission_segment,shared_pool,1,transmission_segment,transmission_segment_serialization,One cross-tenant shared transmission segment lane.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,True,False
shared_transmission_segment_capacity2,single_transmission_segment,shared_pool,2,transmission_segment,transmission_segment_two_lane_pool,Two simultaneous cross-tenant transmission segment lanes.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,True,False
shared_transmission_segment_capacity2,single_transmission_segment,shared_pool,2,transmission_segment,transmission_segment_two_lane_pool,Two simultaneous cross-tenant transmission segment lanes.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,True,False
shared_transmission_segment_capacity2,single_transmission_segment,shared_pool,2,transmission_segment,transmission_segment_two_lane_pool,Two simultaneous cross-tenant transmission segment lanes.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,True,False
partitioned_transmission_segment_two_lanes,single_transmission_segment,partitioned,2,transmission_segment,transmission_segment_partitioned_isolation,"Two transmission segment lanes, statically partitioned by tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,True,False
partitioned_transmission_segment_two_lanes,single_transmission_segment,partitioned,2,transmission_segment,transmission_segment_partitioned_isolation,"Two transmission segment lanes, statically partitioned by tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,True,False
partitioned_transmission_segment_two_lanes,single_transmission_segment,partitioned,2,transmission_segment,transmission_segment_partitioned_isolation,"Two transmission segment lanes, statically partitioned by tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,True,False
shared_destination_link_interface_capacity1,single_destination_link_interface,shared_pool,1,destination_link_interface,destination_link_interface_serialization,One cross-tenant shared destination link interface lane.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,False,True
shared_destination_link_interface_capacity1,single_destination_link_interface,shared_pool,1,destination_link_interface,destination_link_interface_serialization,One cross-tenant shared destination link interface lane.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,False,True
shared_destination_link_interface_capacity1,single_destination_link_interface,shared_pool,1,destination_link_interface,destination_link_interface_serialization,One cross-tenant shared destination link interface lane.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,False,True
shared_destination_link_interface_capacity2,single_destination_link_interface,shared_pool,2,destination_link_interface,destination_link_interface_two_lane_pool,Two simultaneous cross-tenant destination link interface lanes.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,False,True
shared_destination_link_interface_capacity2,single_destination_link_interface,shared_pool,2,destination_link_interface,destination_link_interface_two_lane_pool,Two simultaneous cross-tenant destination link interface lanes.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,False,True
shared_destination_link_interface_capacity2,single_destination_link_interface,shared_pool,2,destination_link_interface,destination_link_interface_two_lane_pool,Two simultaneous cross-tenant destination link interface lanes.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,False,True
partitioned_destination_link_interface_two_lanes,single_destination_link_interface,partitioned,2,destination_link_interface,destination_link_interface_partitioned_isolation,"Two destination link interface lanes, statically partitioned by tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,False,False,False,False,True
partitioned_destination_link_interface_two_lanes,single_destination_link_interface,partitioned,2,destination_link_interface,destination_link_interface_partitioned_isolation,"Two destination link interface lanes, statically partitioned by tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,False,False,False,False,True
partitioned_destination_link_interface_two_lanes,single_destination_link_interface,partitioned,2,destination_link_interface,destination_link_interface_partitioned_isolation,"Two destination link interface lanes, statically partitioned by tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,False,False,False,False,True
shared_data_path_capacity1,shared_data_path,shared_pool,1,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_serialization,One shared lane for every component in shared_data_path.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,True,False,True,True,True
shared_data_path_capacity1,shared_data_path,shared_pool,1,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_serialization,One shared lane for every component in shared_data_path.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,True,False,True,True,True
shared_data_path_capacity1,shared_data_path,shared_pool,1,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_serialization,One shared lane for every component in shared_data_path.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,True,False,True,True,True
shared_data_path_capacity2,shared_data_path,shared_pool,2,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_two_lane_pool,Two pooled lanes for every component in shared_data_path.,periodic_sparse,One victim remote operation every 900 ns.,period=900,False,True,False,True,True,True
shared_data_path_capacity2,shared_data_path,shared_pool,2,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_two_lane_pool,Two pooled lanes for every component in shared_data_path.,periodic_dense,One victim remote operation every 460 ns.,period=460,False,True,False,True,True,True
shared_data_path_capacity2,shared_data_path,shared_pool,2,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_two_lane_pool,Two pooled lanes for every component in shared_data_path.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,True,False,True,True,True
shared_data_path_partitioned_two_lanes,shared_data_path,partitioned,2,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_partitioned_isolation,"Two lanes for every component in shared_data_path, with one fixed lane per tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,False,True,False,True,True,True
shared_data_path_partitioned_two_lanes,shared_data_path,partitioned,2,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_partitioned_isolation,"Two lanes for every component in shared_data_path, with one fixed lane per tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,False,True,False,True,True,True
shared_data_path_partitioned_two_lanes,shared_data_path,partitioned,2,source_link_interface;switch_path;transmission_segment;destination_link_interface,shared_data_path_partitioned_isolation,"Two lanes for every component in shared_data_path, with one fixed lane per tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",False,True,False,True,True,True
shared_full_pipeline_capacity1,shared_full_pipeline,shared_pool,1,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_serialization,One shared lane for every component in shared_full_pipeline.,periodic_sparse,One victim remote operation every 900 ns.,period=900,True,True,True,True,True,True
shared_full_pipeline_capacity1,shared_full_pipeline,shared_pool,1,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_serialization,One shared lane for every component in shared_full_pipeline.,periodic_dense,One victim remote operation every 460 ns.,period=460,True,True,True,True,True,True
shared_full_pipeline_capacity1,shared_full_pipeline,shared_pool,1,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_serialization,One shared lane for every component in shared_full_pipeline.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",True,True,True,True,True,True
shared_full_pipeline_capacity2,shared_full_pipeline,shared_pool,2,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_two_lane_pool,Two pooled lanes for every component in shared_full_pipeline.,periodic_sparse,One victim remote operation every 900 ns.,period=900,True,True,True,True,True,True
shared_full_pipeline_capacity2,shared_full_pipeline,shared_pool,2,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_two_lane_pool,Two pooled lanes for every component in shared_full_pipeline.,periodic_dense,One victim remote operation every 460 ns.,period=460,True,True,True,True,True,True
shared_full_pipeline_capacity2,shared_full_pipeline,shared_pool,2,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_two_lane_pool,Two pooled lanes for every component in shared_full_pipeline.,layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",True,True,True,True,True,True
shared_full_pipeline_partitioned_two_lanes,shared_full_pipeline,partitioned,2,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_partitioned_isolation,"Two lanes for every component in shared_full_pipeline, with one fixed lane per tenant.",periodic_sparse,One victim remote operation every 900 ns.,period=900,True,True,True,True,True,True
shared_full_pipeline_partitioned_two_lanes,shared_full_pipeline,partitioned,2,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_partitioned_isolation,"Two lanes for every component in shared_full_pipeline, with one fixed lane per tenant.",periodic_dense,One victim remote operation every 460 ns.,period=460,True,True,True,True,True,True
shared_full_pipeline_partitioned_two_lanes,shared_full_pipeline,partitioned,2,controller_admission;source_link_interface;switch_arbiter;switch_path;transmission_segment;destination_link_interface,shared_full_pipeline_partitioned_isolation,"Two lanes for every component in shared_full_pipeline, with one fixed lane per tenant.",layered_bursty,Four-operation communication layers separated by local compute.,"burst_period=2400; offsets=0,120,240,360",True,True,True,True,True,True
